Company,Person (Full Name),Race (White/POC),Gender (Female/Male),Position,Sources (web links),Timestamp (date),,,,,,,,,,,,,,,,,,,,
Twitter,Jesse Cohn,White,Male,Board of Director,https://investor.twitterinc.com/corporate-governance/board-of-directors/default.aspx,8/17/2020,,,,,,,,,,,,,,,,,,,,
Twitter,Dr. Fei-Fei Li,POC,Female,Board of Director,https://investor.twitterinc.com/corporate-governance/board-of-directors/default.aspx,8/17/20,,,,,,,,,,,,,,,,,,,,
Twitter,Ngozi Okonjo-Iweala,POC,Female,Board of Director,https://investor.twitterinc.com/corporate-governance/board-of-directors/default.aspx,8/17/2020,,,,,,,,,,,,,,,,,,,,
Twitter,David Rosenblatt,White,Male,Board of Director,https://investor.twitterinc.com/corporate-governance/board-of-directors/default.aspx,8/17/20,,,,,,,,,,,,,,,,,,,,
Twitter,Bret Taylor,White,Male,Board of Director,https://investor.twitterinc.com/corporate-governance/board-of-directors/default.aspx,8/17/2020,,,,,,,,,,,,,,,,,,,,
Twitter,Robert Zoellick,White,Male,Board of Director,https://investor.twitterinc.com/corporate-governance/board-of-directors/default.aspx,8/17/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Marvin R. Ellison,POC,Male,President/CEO,https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,William P. Boltz,White,Male,"Executive VP,Merchandising",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,David M. Denton,White,Male,"Executive VP,CFO",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Donald Frieson,POC,Male,"Executive VP,Supply Chain",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Seemantini Godbole,POC,Female,"Executive VP, CIO",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Janice Dupre Little,POC,Female,"Executive VP, HR",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Ross W. Mccanless,White,Male,"Executive VP, General Counsel and Corporate Secretary",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Joseph M. McFarland III,White,Male,"Executive VP, Stores",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Marisa F. Thalberg,White,Female,"Executive VP, Chief Brand and Marketing Officer",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Mike Amend,White,Male,President/Online,https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Bryan G. Audiss,White,Male,"Division President, West Division",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,J. Todd Bleckley,White,Male,"Senior VP & General Merchandising Manager,Hardlines",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Timothy L. Cooksey,White,Male,"Senior VP, Enterprise Strategic Sourcig and Real estate",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Aaron Flowe,White,Male,"Senior VP, Store Merchandising",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Anthony T. Hurst,White,Male,"President, Lowe's Canada",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Matt Monroe,White,Male,"Division President, South Division",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Robert F. Posthauer,White,Male,"Senior VP, Global Merchandising",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Vincent Scalese,White,Male,"Senior VP, Store Operations",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Geoff Sease,White,Male,"Senior VP, Inventory, Replenishment & Planning",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Neelima V. Sharma,POC,Female,"Senior VP, Technology, E-Commerce, Marketing and Merchandising",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,David L. Shoop,White,Male,"Senior VP, Technology, Stores, Corporate Services, Pro & Services",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
